system,phase,case_name,gpu_count,repetition,status,simulation_ms,compute_ms,communication_ms,throughput_circuit_s,speedup,parallel_efficiency,p2p_bytes,host_staged_bytes,checksum,artifact_path
atlas,smoke,sc26_qft_nq5_c4,1,0,ok,62.1631,1.13136,0,,,,0,,0.5303300858899104,experiments/results/distributed_smoke_all/all-smoke-fixed2/atlas/smoke/g1/sc26_qft_nq5_c4/r0/result.json
bqsim,smoke,sc26_qft_nq5_c4,1,0,ok,18.0,0.23571201227605343,,,,,,,0.0,experiments/results/distributed_smoke_all/all-smoke-fixed2/bqsim/smoke/g1/sc26_qft_nq5_c4/r0/result.json
hybridcvdv,smoke,sc26_qft_nq5_c4,1,0,ok,9.210555,2.248778,0,108.5710904500326,,,0,0,4326.0,experiments/results/distributed_smoke_all/all-smoke-fixed2/hybridcvdv/smoke/g1/sc26_qft_nq5_c4/r0/result.json
