system,phase,case_name,gpu_count,repetition,status,simulation_ms,compute_ms,communication_ms,throughput_circuit_s,speedup,parallel_efficiency,p2p_bytes,host_staged_bytes,checksum,artifact_path
hybridcvdv,smoke,sc26_transfer_DVtoCV_nq2_c4,1,0,ok,2.138952,0.37391,0,467.5186726957874,,,0,0,543.0,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g1/sc26_transfer_DVtoCV_nq2_c4/r0/result.json
hybridcvdv,smoke,sc26_transfer_DVtoCV_nq4_c8,1,0,ok,11.353116,0.976785,0,88.08154518988444,,,0,0,2163.0,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g1/sc26_transfer_DVtoCV_nq4_c8/r0/result.json
hybridcvdv,smoke,sc26_vqe_nq3_nm2_c4,1,0,ok,4.878568,1.605707,0,204.97818212229492,,,0,0,-5178.70893846827,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g1/sc26_vqe_nq3_nm2_c4/r0/result.json
hybridcvdv,smoke,sc26_vqe_nq4_nm2_c8,1,0,ok,9.605979,4.170711,0,104.10183074520567,,,0,0,1115.39560408613,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g1/sc26_vqe_nq4_nm2_c8/r0/result.json
hybridcvdv,smoke,sc26_jch_nq3_nm2_c4,2,0,ok,11.757981,0.502735,0,85.04861506409988,,,0,0,277.0,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g2/sc26_jch_nq3_nm2_c4/r0/result.json
hybridcvdv,smoke,sc26_jch_nq4_nm2_c8,2,0,ok,13.593475,0.522639,0,73.56470659636334,,,0,0,311.0,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g2/sc26_jch_nq4_nm2_c8/r0/result.json
hybridcvdv,smoke,sc26_qaoa_nm1_c4,2,0,ok,0.018529,0.018529,0.0,53969.45328943818,,,0,0,,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g2/sc26_qaoa_nm1_c4/r0/result.json
hybridcvdv,smoke,sc26_qaoa_nm2_c8,2,0,ok,0.01633,0.01633,0.0,61236.9871402327,,,0,0,,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g2/sc26_qaoa_nm2_c8/r0/result.json
hybridcvdv,smoke,sc26_qft_nq3_c4,2,0,ok,3.567452,0.713162,0,280.3121107165563,,,0,0,1086.0,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g2/sc26_qft_nq3_c4/r0/result.json
hybridcvdv,smoke,sc26_qft_nq5_c8,2,0,ok,11.689195,2.359269,0,85.54909042068337,,,0,0,4326.0,experiments/results/distributed_8xH800/phase-a-final/hybridcvdv/smoke/g2/sc26_qft_nq5_c8/r0/result.json
