电路名,电路类型,总时间,传输时间,计算时间,内存占用,门数
sc26_jch_nq6_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq6_nm5_c4,jch,567.166036,68.973379,448.353688,275357696.00,340
sc26_jch_nq6_nm5_c8,jch,47208.108768,46559.324064,573.046032,17365835776.00,495
sc26_jch_nq6_nm6_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq6_nm6_c4,jch,1618.390090,875.756060,671.475598,454234112.00,410
sc26_jch_nq6_nm6_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq6_nm7_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq6_nm7_c4,jch,12260.775311,11759.796260,442.116645,4480806912.00,480
sc26_jch_nq6_nm7_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq7_nm3_c16,jch,1282.801959,749.429632,487.979224,454184960.00,375
sc26_jch_nq7_nm3_c4,jch,648.341899,27.094975,557.579423,274935808.00,205
sc26_jch_nq7_nm3_c8,jch,502.831524,53.790367,389.677430,275824640.00,290
sc26_jch_nq7_nm4_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq7_nm4_c4,jch,510.105244,62.753560,400.960057,275542016.00,275
sc26_jch_nq7_nm4_c8,jch,1323.381917,744.442915,520.296643,454115328.00,395
sc26_jch_nq7_nm5_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq7_nm5_c4,jch,777.233793,81.928066,616.579276,275308544.00,345
sc26_jch_nq7_nm5_c8,jch,44719.778978,43703.086168,952.443607,17365377024.00,500
sc26_jch_nq7_nm6_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq7_nm6_c4,jch,1266.226474,759.853983,445.672166,454168576.00,415
sc26_jch_nq7_nm6_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq7_nm7_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq7_nm7_c4,jch,11983.973681,11462.698146,450.274353,4480958464.00,485
sc26_jch_nq7_nm7_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq8_nm3_c16,jch,1295.251618,749.867970,487.748065,454176768.00,380
sc26_jch_nq8_nm3_c4,jch,676.438595,26.731881,588.449058,275656704.00,210
