system,phase,case_name,gpu_count,repetition,status,simulation_ms,compute_ms,communication_ms,throughput_circuit_s,speedup,parallel_efficiency,p2p_bytes,host_staged_bytes,checksum,artifact_path
atlas,smoke,sc26_qaoa_nm1_c4,4,0,unsupported_backend,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_qaoa_nm1_c4/r0/result.json
atlas,smoke,sc26_qaoa_nm2_c8,4,0,ok,8853.42,3.37888,0.192416,,,,4096,,1,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_qaoa_nm2_c8/r0/result.json
atlas,smoke,sc26_qft_nq3_c4,4,0,ok,3404.98,1.5656,0.085952,,,,1024,,1.0606601717798207,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_qft_nq3_c4/r0/result.json
atlas,smoke,sc26_qft_nq5_c8,4,0,ok,9449.55,12.4346,0.0272,,,,8192,,0.3749999999999997,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_qft_nq5_c8/r0/result.json
atlas,smoke,sc26_transfer_CVtoDV_nq2_c4,4,0,crash_host,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_transfer_CVtoDV_nq2_c4/r0/result.json
atlas,smoke,sc26_transfer_CVtoDV_nq4_c8,4,0,ok,11776.7,29.2239,0.131712,,,,4096,,0.5303300858899104,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_transfer_CVtoDV_nq4_c8/r0/result.json
atlas,smoke,sc26_transfer_DVtoCV_nq2_c4,4,0,crash_host,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_transfer_DVtoCV_nq2_c4/r0/result.json
atlas,smoke,sc26_transfer_DVtoCV_nq4_c8,4,0,ok,4722.16,3.43472,0.187136,,,,4096,,0.5303300858899104,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_transfer_DVtoCV_nq4_c8/r0/result.json
atlas,smoke,sc26_vqe_nq3_nm2_c4,4,0,ok,6801.66,3.30944,0.187744,,,,4096,,1,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_vqe_nq3_nm2_c4/r0/result.json
atlas,smoke,sc26_vqe_nq4_nm2_c8,4,0,ok,3355.47,5.50371,0.159296,,,,32768,,1,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g4/sc26_vqe_nq4_nm2_c8/r0/result.json
atlas,smoke,sc26_jch_nq3_nm2_c4,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_jch_nq3_nm2_c4/r0/result.json
atlas,smoke,sc26_jch_nq4_nm2_c8,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_jch_nq4_nm2_c8/r0/result.json
atlas,smoke,sc26_qaoa_nm1_c4,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_qaoa_nm1_c4/r0/result.json
atlas,smoke,sc26_qaoa_nm2_c8,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_qaoa_nm2_c8/r0/result.json
atlas,smoke,sc26_qft_nq3_c4,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_qft_nq3_c4/r0/result.json
atlas,smoke,sc26_qft_nq5_c8,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_qft_nq5_c8/r0/result.json
atlas,smoke,sc26_transfer_CVtoDV_nq2_c4,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_transfer_CVtoDV_nq2_c4/r0/result.json
atlas,smoke,sc26_transfer_CVtoDV_nq4_c8,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_transfer_CVtoDV_nq4_c8/r0/result.json
atlas,smoke,sc26_transfer_DVtoCV_nq2_c4,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_transfer_DVtoCV_nq2_c4/r0/result.json
atlas,smoke,sc26_transfer_DVtoCV_nq4_c8,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_transfer_DVtoCV_nq4_c8/r0/result.json
atlas,smoke,sc26_vqe_nq3_nm2_c4,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_vqe_nq3_nm2_c4/r0/result.json
atlas,smoke,sc26_vqe_nq4_nm2_c8,6,0,unsupported_gpu_count,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g6/sc26_vqe_nq4_nm2_c8/r0/result.json
atlas,smoke,sc26_jch_nq3_nm2_c4,8,0,ok,44570.7,4.55091,0.246432,,,,4096,,1,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_jch_nq3_nm2_c4/r0/result.json
atlas,smoke,sc26_jch_nq4_nm2_c8,8,0,ok,50448.3,6.59149,0.633472,,,,32768,,1,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_jch_nq4_nm2_c8/r0/result.json
atlas,smoke,sc26_qaoa_nm1_c4,8,0,unsupported_backend,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_qaoa_nm1_c4/r0/result.json
atlas,smoke,sc26_qaoa_nm2_c8,8,0,crash_host,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_qaoa_nm2_c8/r0/result.json
atlas,smoke,sc26_qft_nq3_c4,8,0,unsupported_backend,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_qft_nq3_c4/r0/result.json
atlas,smoke,sc26_qft_nq5_c8,8,0,ok,18734.3,5.40566,0.523232,,,,8192,,0.3749999999999997,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_qft_nq5_c8/r0/result.json
atlas,smoke,sc26_transfer_CVtoDV_nq2_c4,8,0,unsupported_backend,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_transfer_CVtoDV_nq2_c4/r0/result.json
atlas,smoke,sc26_transfer_CVtoDV_nq4_c8,8,0,ok,19251.8,2.98493,0.64624,,,,4096,,0.5303300858899104,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_transfer_CVtoDV_nq4_c8/r0/result.json
atlas,smoke,sc26_transfer_DVtoCV_nq2_c4,8,0,unsupported_backend,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_transfer_DVtoCV_nq2_c4/r0/result.json
atlas,smoke,sc26_transfer_DVtoCV_nq4_c8,8,0,ok,10711.4,3.27437,0.658624,,,,4096,,0.5303300858899104,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_transfer_DVtoCV_nq4_c8/r0/result.json
atlas,smoke,sc26_vqe_nq3_nm2_c4,8,0,crash_host,,,,,,,,,,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_vqe_nq3_nm2_c4/r0/result.json
atlas,smoke,sc26_vqe_nq4_nm2_c8,8,0,ok,36139.9,7.33187,0.253696,,,,32768,,1,experiments/results/distributed_8xH800/phase-a-v2/atlas/smoke/g8/sc26_vqe_nq4_nm2_c8/r0/result.json
bqsim,smoke,sc26_jch_nq3_nm2_c4,1,0,ok,4835.978705203161,,,0.20678337539494807,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_jch_nq3_nm2_c4/r0/result.json
bqsim,smoke,sc26_jch_nq4_nm2_c8,1,0,ok,640.884397784248,,,1.5603438053061285,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_jch_nq4_nm2_c8/r0/result.json
bqsim,smoke,sc26_qaoa_nm1_c4,1,0,ok,910.2497629355639,,,1.0985995720284405,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_qaoa_nm1_c4/r0/result.json
bqsim,smoke,sc26_qaoa_nm2_c8,1,0,ok,685.2785809896886,,,1.4592605514618397,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_qaoa_nm2_c8/r0/result.json
bqsim,smoke,sc26_qft_nq3_c4,1,0,ok,3450.1236099749804,,,0.28984468762475785,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_qft_nq3_c4/r0/result.json
bqsim,smoke,sc26_qft_nq5_c8,1,0,ok,579.2947900481522,,,1.726236826533306,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_qft_nq5_c8/r0/result.json
bqsim,smoke,sc26_transfer_CVtoDV_nq2_c4,1,0,ok,2439.6852601785213,,,0.40988893785701935,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_transfer_CVtoDV_nq2_c4/r0/result.json
bqsim,smoke,sc26_transfer_CVtoDV_nq4_c8,1,0,ok,647.167552029714,,,1.545194898699257,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_transfer_CVtoDV_nq4_c8/r0/result.json
bqsim,smoke,sc26_transfer_DVtoCV_nq2_c4,1,0,ok,1640.745849115774,,,0.6094789150549532,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_transfer_DVtoCV_nq2_c4/r0/result.json
bqsim,smoke,sc26_transfer_DVtoCV_nq4_c8,1,0,ok,1386.4480510819703,,,0.7212675579294947,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_transfer_DVtoCV_nq4_c8/r0/result.json
bqsim,smoke,sc26_vqe_nq3_nm2_c4,1,0,ok,1021.763619966805,,,0.9786999463070412,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_vqe_nq3_nm2_c4/r0/result.json
bqsim,smoke,sc26_vqe_nq4_nm2_c8,1,0,ok,1067.440140992403,,,0.9368206811768351,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g1/sc26_vqe_nq4_nm2_c8/r0/result.json
bqsim,smoke,sc26_jch_nq3_nm2_c4,2,0,ok,1163.5957059916109,,,0.8594050277521474,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_jch_nq3_nm2_c4/r0/result.json
bqsim,smoke,sc26_jch_nq4_nm2_c8,2,0,ok,990.291414083913,,,1.0098037666266835,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_jch_nq4_nm2_c8/r0/result.json
bqsim,smoke,sc26_qaoa_nm1_c4,2,0,ok,1361.1685489304364,,,0.7346628753549799,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_qaoa_nm1_c4/r0/result.json
bqsim,smoke,sc26_qaoa_nm2_c8,2,0,ok,1333.8073389604688,,,0.7497334665884889,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_qaoa_nm2_c8/r0/result.json
bqsim,smoke,sc26_qft_nq3_c4,2,0,ok,1045.2288589440286,,,0.9567282719406328,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_qft_nq3_c4/r0/result.json
bqsim,smoke,sc26_qft_nq5_c8,2,0,ok,966.7826530057937,,,1.0343586502001576,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_qft_nq5_c8/r0/result.json
bqsim,smoke,sc26_transfer_CVtoDV_nq2_c4,2,0,ok,1071.5144129935652,,,0.9332585617828786,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_transfer_CVtoDV_nq2_c4/r0/result.json
bqsim,smoke,sc26_transfer_CVtoDV_nq4_c8,2,0,ok,3165.885282913223,,,0.31586741484195785,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_transfer_CVtoDV_nq4_c8/r0/result.json
bqsim,smoke,sc26_transfer_DVtoCV_nq2_c4,2,0,ok,1660.5506010819227,,,0.6022098931212668,,,,,,experiments/results/distributed_8xH800/phase-a-v2/bqsim/smoke/g2/sc26_transfer_DVtoCV_nq2_c4/r0/result.json
